Mood Name/ Feeling,Definition,Emotional Group,Group,Group Count,Hue Range (°),Intensity level,Tier Count,hex,hue,lightness,rgb,saturation
Furious,Full of extreme anger or violent passion; intensely energetic or enraged.,Anger / Energy,Rage / Volatility,20,30,Higher,4,#d88d26,34.72,50,"rgb(216, 141, 38)",70
Riotous,"Wildly uncontrolled and disorderly, suggesting chaos.",Anger / Energy,Rage / Volatility,21,30,Higher,5,#d89226,36.55,50,"rgb(216, 146, 38)",70
Explosive,"Capable of a sudden, violent, or intense outburst.",Anger / Energy,Rage / Volatility,22,30,Higher,6,#d89826,38.38,50,"rgb(216, 152, 38)",70
Wrathful,"Intense, extreme anger, often with a vengeful element.",Anger / Energy,Rage / Volatility,23,30,Higher,7,#d89d26,40.2,50,"rgb(216, 157, 38)",70
Frenzied,Wildly excited or agitated; near-hysterical or chaotic.,Anger / Energy,Rage / Volatility,24,30,Higher,8,#d8a326,42.03,50,"rgb(216, 163, 38)",70
Mellow,"A gentle, pleasant, and calm state of feeling.",Joy / Optimism,Gentle Uplift,1,70,Lower,1,#d8a826,43.86,50,"rgb(216, 168, 38)",70
Complacent,"Satisfied and content with oneself or one's situation, sometimes to a fault.",Joy / Optimism,Gentle Uplift,2,70,Lower,2,#d8ae26,45.69,50,"rgb(216, 174, 38)",70
Hopeful,Feeling or inspiring a belief that something good will happen.,Joy / Optimism,Gentle Uplift,3,70,Lower,3,#d8b326,47.51,50,"rgb(216, 179, 38)",70
Comforting,"Providing a sense of relief, ease, and solace.",Joy / Optimism,Gentle Uplift,4,70,Lower,4,#d8b926,49.34,50,"rgb(216, 185, 38)",70
Gracious,"Characterized by kindness, charm, and a pleasant disposition, which can inspire a gentle joy in others.",Joy / Optimism,Gentle Uplift,5,70,Lower,5,#d8be26,51.17,50,"rgb(216, 190, 38)",70
Playful,Full of fun and high spirits; lighthearted.,Joy / Optimism,Gentle Uplift,6,70,Lower,6,#d8c326,52.99,50,"rgb(216, 195, 38)",70
Grateful,Acknowledging and showing appreciation for a benefit received.,Joy / Optimism,Heartfelt Connection,7,70,Moderate,1,#d8c926,54.82,50,"rgb(216, 201, 38)",70
Sincere,Genuine and heartfelt in feeling or expression.,Joy / Optimism,Heartfelt Connection,8,70,Moderate,2,#d8ce26,56.65,50,"rgb(216, 206, 38)",70
Cheerful,"Noticeably happy, optimistic, and in good spirits.",Joy / Optimism,Heartfelt Connection,9,70,Moderate,3,#d8d426,58.48,50,"rgb(216, 212, 38)",70
Warm,"Exhibiting kindness, friendliness, or affection.",Joy / Optimism,Heartfelt Connection,10,70,Moderate,4,#d7d826,60.3,50,"rgb(215, 216, 38)",70
Intimate,Associated in a close personal relationship; very private and personal.,Joy / Optimism,Heartfelt Connection,11,70,Moderate,5,#d2d826,62.13,50,"rgb(210, 216, 38)",70
Affectionate,Showing tender feelings of love or fondness.,Joy / Optimism,Heartfelt Connection,12,70,Moderate,6,#ccd826,63.96,50,"rgb(204, 216, 38)",70
Buoyant,Cheerful and optimistic; not easily depressed.,Joy / Optimism,Heartfelt Connection,13,70,Moderate,7,#c7d826,65.79,50,"rgb(199, 216, 38)",70
Uplifting,"Inspiring hope, encouragement, or positive emotion.",Joy / Optimism,Heartfelt Connection,14,70,Moderate,8,#c2d826,67.61,50,"rgb(194, 216, 38)",70
Heartfelt,Deeply and sincerely felt or expressed.,Joy / Optimism,Heartfelt Connection,15,70,Moderate,9,#bcd826,69.44,50,"rgb(188, 216, 38)",70
Joyful,Filled with or expressing great pleasure and happiness.,Joy / Optimism,Heartfelt Connection,16,70,Moderate,10,#b7d826,71.27,50,"rgb(183, 216, 38)",70
Exuberant,"Filled with energy, enthusiasm, and high spirits.",Joy / Optimism,Heartfelt Connection,17,70,Moderate,11,#b1d826,73.1,50,"rgb(177, 216, 38)",70
Radiant,"Beaming with intense joy and happiness, as if lit from within.",Joy / Optimism,Vibrant Celebration,18,70,Higher,1,#acd826,74.92,50,"rgb(172, 216, 38)",70
Effervescent,"Bubbly, lively, and enthusiastic in personality.",Joy / Optimism,Vibrant Celebration,19,70,Higher,2,#a6d826,76.75,50,"rgb(166, 216, 38)",70
Triumphant,Exulting over victory or success; jubilant.,Joy / Optimism,Vibrant Celebration,21,70,Higher,4,#9cd826,80.41,50,"rgb(156, 216, 38)",70
Jubilant,"Showing great joy, satisfaction, or triumph; rejoicing.",Joy / Optimism,Vibrant Celebration,20,70,Higher,3,#a1d826,78.58,50,"rgb(161, 216, 38)",70
Ecstatic,Overjoyed and intensely excited.,Joy / Optimism,Vibrant Celebration,22,70,Higher,5,#96d826,82.23,50,"rgb(150, 216, 38)",70
Liberated,"Released from limits or constraints, feeling a sense of freedom and relief.",Joy / Optimism,Vibrant Celebration,23,70,Higher,6,#91d826,84.06,50,"rgb(145, 216, 38)",70
Blissful,Extremely happy; full of pure joy and supreme happiness.,Joy / Optimism,Vibrant Celebration,24,70,Higher,7,#8bd826,85.89,50,"rgb(139, 216, 38)",70
At Ease,"Free from stress, anxiety, or awkwardness.",Trust / Peace,Gentle Presence,0,160,Lower,1,#86d826,87.72,50,"rgb(134, 216, 38)",70
Comfortable,Feeling physically and mentally relaxed without worry or tension.,Trust / Peace,Gentle Presence,0,160,Lower,2,#80d826,89.54,50,"rgb(128, 216, 38)",70
Content,A state of quiet happiness or satisfaction with what one has.,Trust / Peace,Gentle Presence,0,160,Lower,3,#7bd826,91.37,50,"rgb(123, 216, 38)",70
Untroubled,Not feeling or showing any worry or anxiety.,Trust / Peace,Gentle Presence,0,160,Lower,4,#75d826,93.2,50,"rgb(117, 216, 38)",70
Gentle,Mild and not harsh or severe; having a soft and delicate nature.,Trust / Peace,Gentle Presence,0,160,Lower,5,#70d826,95.03,50,"rgb(112, 216, 38)",70
Satiated,"Fully satisfied, particularly in one's needs or desires.",Trust / Peace,Gentle Presence,0,160,Lower,6,#6bd826,96.85,50,"rgb(107, 216, 38)",70
Calm,Not agitated or disturbed; tranquil.,Trust / Peace,Gentle Presence,0,160,Lower,8,#60d826,100.51,50,"rgb(96, 216, 38)",70
Content,A feeling of quiet happiness and satisfaction with what one has.,Trust / Peace,Gentle Presence,0,160,Lower,7,#65d826,98.68,50,"rgb(101, 216, 38)",70
Nurturing,To care for and encourage the growth or development of someone or something.,Trust / Peace,Gentle Presence,0,160,Lower,9,#5ad826,102.34,50,"rgb(90, 216, 38)",70
Cozy,"Giving a feeling of comfort, warmth, and relaxation.",Trust / Peace,Gentle Presence,0,160,Lower,10,#55d826,104.16,50,"rgb(85, 216, 38)",70
Reassured,"Having had doubts or fears dispelled, restoring confidence.",Trust / Peace,Personal Security,0,160,Moderate,1,#4fd826,105.99,50,"rgb(79, 216, 38)",70
Peaceful,Free from disturbance or agitation; calm.,Trust / Peace,Personal Security,0,160,Moderate,2,#4ad826,107.82,50,"rgb(74, 216, 38)",70
Soothing,Having a gently calming effect.,Trust / Peace,Personal Security,0,160,Moderate,3,#45d826,109.64,50,"rgb(69, 216, 38)",70
Serene,"A state of being calm, peaceful, and untroubled.",Trust / Peace,Personal Security,0,160,Moderate,4,#3fd826,111.47,50,"rgb(63, 216, 38)",70
Balanced,Stable and in proportion; having all elements in the correct relationship.,Trust / Peace,Personal Security,0,160,Moderate,5,#3ad826,113.3,50,"rgb(58, 216, 38)",70
Nurturing,"The feeling of caring for and encouraging the growth of someone or something, often creating a sense of peace.",Trust / Peace,Personal Security,0,160,Moderate,6,#34d826,115.13,50,"rgb(52, 216, 38)",70
Connected,Feeling a sense of belonging or a strong relationship with others or oneself.,Trust / Peace,Personal Security,0,160,Moderate,7,#2fd826,116.95,50,"rgb(47, 216, 38)",70
Trusting,Having belief or confidence in someone or something.,Trust / Peace,Personal Security,0,160,Moderate,8,#29d826,118.78,50,"rgb(41, 216, 38)",70
Trust / Peace,"A dual concept where ""trust"" is the firm belief in the reliability of something and ""peace"" is the freedom from disturbance.",Trust / Peace,Personal Security,0,160,Moderate,9,#26d828,120.61,50,"rgb(38, 216, 40)",70
Sheltered,Protected from danger or hardship.,Trust / Peace,Personal Security,0,160,Moderate,10,#26d82d,122.44,50,"rgb(38, 216, 45)",70
Harmonious,"Characterized by agreement, pleasantness, or a pleasing arrangement of parts.",Trust / Peace,Absolute Stability,0,160,Higher,1,#26d832,124.26,50,"rgb(38, 216, 50)",70
Contented,A deeper and more profound form of contentment.,Trust / Peace,Absolute Stability,0,160,Higher,2,#26d838,126.09,50,"rgb(38, 216, 56)",70
Assured,Confident and certain; free from doubt.,Trust / Peace,Absolute Stability,0,160,Higher,3,#26d83d,127.92,50,"rgb(38, 216, 61)",70
Precise,Marked by exactness and accuracy; a state of mental clarity.,Trust / Peace,Absolute Stability,0,160,Higher,4,#26d843,129.75,50,"rgb(38, 216, 67)",70
Unflappable,Having or showing calmness in a crisis; a state of not being easily disturbed.,Trust / Peace,Absolute Stability,0,160,Higher,5,#26d848,131.57,50,"rgb(38, 216, 72)",70
Anchored,Firmly fixed in place; a deep feeling of stability or security.,Trust / Peace,Absolute Stability,0,160,Higher,6,#26d84e,133.4,50,"rgb(38, 216, 78)",70
Centered,Mentally and emotionally stable; a state of being completely focused and balanced.,Trust / Peace,Absolute Stability,0,160,Higher,7,#26d853,135.23,50,"rgb(38, 216, 83)",70
Serene,"A state of being calm, peaceful, and untroubled.",Trust / Peace,Absolute Stability,0,160,Higher,8,#26d858,137.06,50,"rgb(38, 216, 88)",70
Unsettled,Not feeling calm or relaxed; out of order or unstable.,Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,1,#26d85e,138.88,50,"rgb(38, 216, 94)",70
Uneasy,"Feeling worried, uncomfortable, or ill at ease.",Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,2,#26d863,140.71,50,"rgb(38, 216, 99)",70
Disquieted,Experiencing a lack of calm or peace; disturbed by worry.,Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,3,#26d869,142.54,50,"rgb(38, 216, 105)",70
Uncertain,Not confident or sure of something.,Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,4,#26d86e,144.37,50,"rgb(38, 216, 110)",70
Ephemeral,Lasting for only a short period of time; fleeting.,Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,5,#26d874,146.19,50,"rgb(38, 216, 116)",70
Nervous,Easily agitated or alarmed; a transient reaction to a specific situation.,Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,6,#26d879,148.02,50,"rgb(38, 216, 121)",70
Apprehensive,Anxious or fearful that something bad or unpleasant will happen.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,1,#26d884,151.68,50,"rgb(38, 216, 132)",70
Elusive,"Difficult to find, catch, or achieve.",Fear / Mystery,Subtle Unease and Uncertainty,0,210,Lower,7,#26d87f,149.85,50,"rgb(38, 216, 127)",70
Anxious,Characterized by apprehension and unease about future events.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,2,#26d889,153.5,50,"rgb(38, 216, 137)",70
Creeping,A feeling that develops gradually and insidiously.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,3,#26d88f,155.33,50,"rgb(38, 216, 143)",70
Suspenseful,Creating a state of anxious curiosity or excitement about an outcome.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,4,#26d894,157.16,50,"rgb(38, 216, 148)",70
Ominous,Giving the impression that something bad is going to happen.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,5,#26d89a,158.98,50,"rgb(38, 216, 154)",70
Foreboding,A strong inner feeling or premonition of future misfortune.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,6,#26d89f,160.81,50,"rgb(38, 216, 159)",70
Dark,Marked by gloom or hopelessness; lacking light or cheerfulness.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,7,#26d8a5,162.64,50,"rgb(38, 216, 165)",70
Shadowed,Covered in darkness or gloom; filled with an implied sense of threat.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,8,#26d8aa,164.47,50,"rgb(38, 216, 170)",70
Eerie,Strange and frightening; causing a feeling of uneasiness.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,9,#26d8af,166.29,50,"rgb(38, 216, 175)",70
Uncanny,"Strange or mysterious, in an unsettling way; beyond what is normal or expected.",Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,10,#26d8b5,168.12,50,"rgb(38, 216, 181)",70
Hypnotic,Producing a trance-like or mesmerizing effect.,Fear / Mystery,Overwhelming Terror and Confusion,0,210,Moderate,12,#26d8c0,171.78,50,"rgb(38, 216, 192)",70
Haunting,Remaining in the mind; difficult to forget or escape.,Fear / Mystery,Mounting Dread and Suspense,0,210,Moderate,11,#26d8ba,169.95,50,"rgb(38, 216, 186)",70
Fearful,Full of fear; feeling or showing a lack of courage.,Fear / Mystery,Overwhelming Terror and Confusion,0,210,Higher,1,#26d8c5,173.6,50,"rgb(38, 216, 197)",70
Disoriented,"Lacking a sense of time, place, or identity.",Fear / Mystery,Overwhelming Terror and Confusion,0,210,Higher,2,#26d8cb,175.43,50,"rgb(38, 216, 203)",70
Claustrophobic,Feeling extreme or irrational fear of confined places.,Fear / Mystery,Overwhelming Terror and Confusion,0,210,Higher,3,#26d8d0,177.26,50,"rgb(38, 216, 208)",70
Alienated,"Feeling isolated, estranged, or detached from others.",Fear / Mystery,Overwhelming Terror and Confusion,0,210,Higher,4,#26d8d6,179.09,50,"rgb(38, 216, 214)",70
Paranoid,Characterized by irrational suspicion and mistrust of others.,Fear / Mystery,Overwhelming Terror and Confusion,0,210,Higher,5,#26d6d8,180.91,50,"rgb(38, 214, 216)",70
Sad,Feeling or showing sorrow; unhappy.,Sadness / Calm,Familiar Melancholy,0,250,Lower,1,#26d0d8,182.74,50,"rgb(38, 208, 216)",70
Lonely,Sadness resulting from being alone or feeling isolated.,Sadness / Calm,Familiar Melancholy,0,250,Lower,2,#26cbd8,184.57,50,"rgb(38, 203, 216)",70
Melancholy,"A pensive sadness, typically with no obvious cause.",Sadness / Calm,Familiar Melancholy,0,250,Lower,3,#26c5d8,186.4,50,"rgb(38, 197, 216)",70
Reflective,Engaged in or characterized by deep thought; thoughtful.,Sadness / Calm,Familiar Melancholy,0,250,Lower,4,#26c0d8,188.22,50,"rgb(38, 192, 216)",70
Hazy,Not clear or sharp; a sense of being unclear or confused.,Sadness / Calm,Familiar Melancholy,0,250,Lower,5,#26bad8,190.05,50,"rgb(38, 186, 216)",70
Subdued,"A state of low energy, quiet, or low in tone.",Sadness / Calm,Familiar Melancholy,0,250,Lower,6,#26b5d8,191.88,50,"rgb(38, 181, 216)",70
Languid,Showing a disinclination for physical exertion or effort; slow and relaxed.,Sadness / Calm,Familiar Melancholy,0,250,Lower,7,#26afd8,193.71,50,"rgb(38, 175, 216)",70
Introspective,The examination of one's own conscious thoughts and feelings.,Sadness / Calm,Familiar Melancholy,0,250,Lower,8,#26aad8,195.53,50,"rgb(38, 170, 216)",70
Wistful,Having a feeling of vague or regretful longing.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,2,#269fd8,199.19,50,"rgb(38, 159, 216)",70
Bittersweet,A mixture of pleasure and sadness.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,1,#26a5d8,197.36,50,"rgb(38, 165, 216)",70
Tender,"Showing gentleness, kindness, and affection.",Sadness / Calm,Poignant Sorrow,0,250,Moderate,3,#269ad8,201.02,50,"rgb(38, 154, 216)",70
Submerged,"Completely covered or immersed, as if overwhelmed by an emotion.",Sadness / Calm,Poignant Sorrow,0,250,Moderate,4,#2694d8,202.84,50,"rgb(38, 148, 216)",70
Yearning,A feeling of intense longing for something.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,5,#268fd8,204.67,50,"rgb(38, 143, 216)",70
Remorseful,Filled with a sense of deep regret or guilt.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,6,#2689d8,206.5,50,"rgb(38, 137, 216)",70
Poignant,Evoking a keen sense of sadness or regret.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,7,#2684d8,208.32,50,"rgb(38, 132, 216)",70
Resigned,Having accepted something unpleasant that one cannot do anything about.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,8,#267fd8,210.15,50,"rgb(38, 127, 216)",70
Vulnerable,Susceptible to physical or emotional harm or attack.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,9,#2679d8,211.98,50,"rgb(38, 121, 216)",70
Serein,A light fine rain falling from a clear sky; a state of calm.,Sadness / Calm,Poignant Sorrow,0,250,Moderate,10,#2674d8,213.81,50,"rgb(38, 116, 216)",70
Hollow,"Without real value, sincerity, or substance; a feeling of emptiness.",Sadness / Calm,Profound Despair,0,250,Higher,1,#266ed8,215.63,50,"rgb(38, 110, 216)",70
Despondent,In low spirits from loss of hope or courage.,Sadness / Calm,Profound Despair,0,250,Higher,2,#2669d8,217.46,50,"rgb(38, 105, 216)",70
Brooding,"Preoccupied with depressing, morbid, or painful thoughts.",Sadness / Calm,Profound Despair,0,250,Higher,3,#2663d8,219.29,50,"rgb(38, 99, 216)",70
Somber,Dark or gloomy in mood; serious.,Sadness / Calm,Profound Despair,0,250,Higher,4,#265ed8,221.12,50,"rgb(38, 94, 216)",70
Anguish,"An intense, complex, and painful emotional state caused by extreme mental or physical suffering.",Sadness / Calm,Profound Despair,0,250,Higher,5,#2658d8,222.94,50,"rgb(38, 88, 216)",70
Submerged,"Completely overwhelmed or immersed, as if drowning in an emotion.",Sadness / Calm,Profound Despair,0,250,Higher,6,#2653d8,224.77,50,"rgb(38, 83, 216)",70
Unfolding,The feeling of gradual revelation; a sense of a story or event slowly becoming clear.,Surprise / Imagination,Gentle Awakening,0,290,Lower,1,#264ed8,226.6,50,"rgb(38, 78, 216)",70
Liminal,"A transitional, in-between state, like being on the threshold of something new.",Surprise / Imagination,Gentle Awakening,0,290,Lower,3,#2643d8,230.25,50,"rgb(38, 67, 216)",70
Dreamy,"Suggesting the calm, gentle quality of a dream; a soft, pleasant feeling.",Surprise / Imagination,Gentle Awakening,0,290,Lower,2,#2648d8,228.43,50,"rgb(38, 72, 216)",70
Weightless,A feeling of being free from physical and emotional burdens; light and carefree.,Surprise / Imagination,Gentle Awakening,0,290,Lower,4,#263dd8,232.08,50,"rgb(38, 61, 216)",70
Whimsical,"Playfully quaint or fanciful, especially in an appealing and amusing way.",Surprise / Imagination,Gentle Awakening,0,290,Lower,5,#2638d8,233.91,50,"rgb(38, 56, 216)",70
Novel,New or unusual in an interesting or different way.,Surprise / Imagination,Gentle Awakening,0,290,Lower,6,#2632d8,235.74,50,"rgb(38, 50, 216)",70
Beautiful,A profound appreciation for something that gives great pleasure to the senses or mind.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,8,#2628d8,239.39,50,"rgb(38, 40, 216)",70
Cinematic,"A feeling as if one is watching a movie, suggesting a powerful and sweeping quality.",Surprise / Imagination,Vivid Discovery,0,290,Moderate,7,#262dd8,237.56,50,"rgb(38, 45, 216)",70
Nostalgic,A sentimental longing or wistful affection for the past.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,9,#2926d8,241.22,50,"rgb(41, 38, 216)",70
Romantic,Characterized by a feeling of excitement and mystery associated with love.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,10,#2f26d8,243.05,50,"rgb(47, 38, 216)",70
Magical,An enchanting feeling that something extraordinary or unexplainable is happening.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,11,#3426d8,244.87,50,"rgb(52, 38, 216)",70
Luminescent,Emitting light not caused by heat; a subtle radiance or glow.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,13,#3f26d8,248.53,50,"rgb(63, 38, 216)",70
Ethereal,Extremely delicate and light; not of this world.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,12,#3a26d8,246.7,50,"rgb(58, 38, 216)",70
Incongruous,Not in harmony with the surroundings; a sense of mild disorientation.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,14,#4526d8,250.36,50,"rgb(69, 38, 216)",70
Mythic,Relating to or having the nature of a myth; legendary and larger-than-life.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,15,#4a26d8,252.18,50,"rgb(74, 38, 216)",70
Dreamlike,Having the vivid but strange quality of a dream; a sense of unreality.,Surprise / Imagination,Vivid Discovery,0,290,Moderate,16,#4f26d8,254.01,50,"rgb(79, 38, 216)",70
Wonder,"A feeling of surprise mingled with admiration, caused by something beautiful, unexpected, or inexplicable.",Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,17,#5526d8,255.84,50,"rgb(85, 38, 216)",70
Fantastical,Imaginative or fanciful to an exaggerated degree.,Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,18,#5a26d8,257.66,50,"rgb(90, 38, 216)",70
Disorienting,Making someone lose their sense of direction or feel confused.,Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,19,#6026d8,259.49,50,"rgb(96, 38, 216)",70
Hallucinatory,"The experience of perceiving things that are not there, creating a profoundly altered state.",Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,20,#6526d8,261.32,50,"rgb(101, 38, 216)",70
Orphic,Pertaining to Orpheus; mystical and entrancing.,Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,21,#6b26d8,263.15,50,"rgb(107, 38, 216)",70
Surreal,"Having a strange, dreamlike, or fantastic quality; beyond reality.",Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,22,#7026d8,264.97,50,"rgb(112, 38, 216)",70
Transcendent,Exceeding the ordinary limits; beyond the scope of human experience.,Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,23,#7526d8,266.8,50,"rgb(117, 38, 216)",70
Cosmic,Relating to the cosmos or suggesting a vast and complex quality.,Surprise / Imagination,Overwhelming Reality Shift,0,290,Higher,24,#7b26d8,268.63,50,"rgb(123, 38, 216)",70
Curious,Eager to know or learn something; a gentle and inquiring state.,Anticipation / Dream,Curious Expansion,0,330,Lower,1,#8026d8,270.46,50,"rgb(128, 38, 216)",70
Experimental,Relating to a new way of doing or thinking about something; a sense of tentative exploration.,Anticipation / Dream,Curious Expansion,0,330,Lower,3,#8626d8,272.28,50,"rgb(134, 38, 216)",70
Whimsical,"Playfully quaint or fanciful; a light-hearted, imaginative quality.",Anticipation / Dream,Curious Expansion,0,330,Lower,2,#8b26d8,274.11,50,"rgb(139, 38, 216)",70
Unfolding,The feeling of gradual revelation; a sense of a story or event slowly becoming clear.,Anticipation / Dream,Curious Expansion,0,330,Lower,4,#9126d8,275.94,50,"rgb(145, 38, 216)",70
Prospective,A future event that is likely to happen; looking forward to something with anticipation.,Anticipation / Dream,Curious Expansion,0,330,Lower,5,#9626d8,277.77,50,"rgb(150, 38, 216)",70
Hopeful,A feeling of expectation and desire for a certain thing to happen.,Anticipation / Dream,Curious Expansion,0,330,Lower,6,#9c26d8,279.59,50,"rgb(156, 38, 216)",70
Inspired,"A feeling of being mentally stimulated to do or feel something, typically positive.",Anticipation / Dream,Curious Expansion,0,330,Lower,7,#a126d8,281.42,50,"rgb(161, 38, 216)",70
Adventurous,"Willing to take risks or to try out new methods, ideas, or experiences.",Anticipation / Dream,Curious Expansion,0,330,Moderate,1,#a626d8,283.25,50,"rgb(166, 38, 216)",70
Inspired,"A feeling of being mentally stimulated to do or feel something, often positive and forward-looking.",Anticipation / Dream,Curious Expansion,0,330,Moderate,2,#ac26d8,285.08,50,"rgb(172, 38, 216)",70
Imaginative,"The ability to form new ideas, images, or concepts; a precursor to innovation.",Anticipation / Dream,Imaginative Immersion,0,330,Moderate,3,#b126d8,286.9,50,"rgb(177, 38, 216)",70
Speculative,Based on conjecture rather than knowledge; a theoretical or abstract feeling.,Anticipation / Dream,Imaginative Immersion,0,330,Moderate,4,#b726d8,288.73,50,"rgb(183, 38, 216)",70
Enchanted,A feeling of being under a spell; filled with delight and wonder.,Anticipation / Dream,Imaginative Immersion,0,330,Moderate,5,#bc26d8,290.56,50,"rgb(188, 38, 216)",70
Mesmerizing,Attracting and holding interest as if by a spell; a powerfully hypnotic quality.,Anticipation / Dream,Imaginative Immersion,0,330,Moderate,6,#c226d8,292.39,50,"rgb(194, 38, 216)",70
Longing,A yearning desire for something; a feeling of intense anticipation.,Anticipation / Dream,Imaginative Immersion,0,330,Moderate,7,#c726d8,294.21,50,"rgb(199, 38, 216)",70
Dreamlike,Having the vivid but strange quality of a dream; a sense of unreality.,Anticipation / Dream,Imaginative Immersion,0,330,Moderate,8,#cc26d8,296.04,50,"rgb(204, 38, 216)",70
Lush,"Richly abundant and luxurious; a sense of deep, sensory pleasure.",Anticipation / Dream,Imaginative Immersion,0,330,Moderate,9,#d226d8,297.87,50,"rgb(210, 38, 216)",70
